Name,City,State,Manager,"Vintage Year","Fund Size","Average Investment","Investment Strategy","Fund Style","Making New Investments?","Investor Relations Name","Investor Relations Email","Investor Relations Phone"
"PCI II, L.P.",Baltimore,MD,"PCI Capital Management, LLC",2020,105228000,3374032,"Hybrid Debt/Equity","Private Credit",Yes,"Christopher Pope",cpope@parkway.calvertst.com,"(443) 573-3714"
"PCI III, L.P.",Towson,MD,"PCI Capital Management, LLC",2025,28515000,,"Hybrid Debt/Equity","Private Credit",Yes,"Christopher Pope",cpope@parkway.calvertst.com,443-573-3700
"Pelham S2K SBIC II, L.P.","New York",NY,"Pelham S2K",2022,71500000,2760527,"Direct Lending","Private Credit",Yes,"Jonathan Terzi",jterzi@pelhams2k.com,"(212) 603-9766"
"Pelham S2K SBIC, L.P.","New York",NY,"Pelham S2K",2016,95199449,2465965,Mezzanine,Hybrid,No,"Jonathan Terzi",jterzi@pelhams2k.com,"(212) 603-9766"
"Pelion Ventures V Financial Institutions Fund, L.P.","Salt Lake City",UT,"Pelion, Inc.",2012,1132653,301919,Venture,Venture,No,"Blake Modersitzki",blake@pelionvp.com,801-365-0262
"Pelion Ventures VII Financial Institutions Fund, L.P.","Salt Lake City",UT,"Pelion, Inc.",2021,50510204,539701,Venture,Venture,Yes,"Blake Modersitzki",blake@pelionvp.com,"(801) 365-0262"
"Pelion Ventures VIII Financial Institutions Fund L.P.","Salt Lake City",UT,"Pelion, Inc.",2023,95285210,3943999,Venture,"Private Equity",Yes,"Ben Haacke",bhaacke@pelionvp.com,(801)365-0262
"Petra Growth Fund II, L.P.",Nashville,TN,"Petra Capital",2007,38238114,271031,"Hybrid Debt/Equity",Hybrid,No,"Melanie Beavon",mlb@petracapital.com,"(615) 777-5983"
"Petra Growth Fund III, L.P.",Nashville,TN,"Petra Capital",2013,77346142,1330647,"Hybrid Debt/Equity",Hybrid,No,"Melanie Beavon",mlb@petracapital.com,"(615) 777-5983"
"Petra Growth Fund IV, L.P.",Nashville,TN,"Petra Capital",2019,207023571,2719404,"Hybrid Debt/Equity",Hybrid,No,"Douglas Owen",dbo@petracapital.com,"(615) 313-5994"
"Petra Growth Fund V, L.P.",Nashville,TN,"Petra Capital",2024,259185816,,"Hybrid Debt/Equity",Hybrid,Yes,"Michael Blackburn",mwb@petracapital.com,615-313-5999
"Pine Street Capital Partners III, LP",Albany,NY,"PSCP Management, Inc.",2016,121414500,1328099,Mezzanine,"Private Equity",No,"Michael Lasch",laschm@pinecap.com,"(518) 449-9070"
"Pine Street Capital Partners IV, LP",Albany,NY,"Pine Street Capital Partners",2023,98109385,5303503,Mezzanine,"Private Equity",Yes,"Timothy Welles",wellest@pinecap.com,"(518) 449-9070"
"Pivotal Capital Fund II, LP","Menlo Park",CA,"Pivotal Capital",2022,39995000,5303503,Venture,"Private Equity",Yes,"Renee Baker",renee@pivotalcp.com,"(650) 233-5402"
"Plexus Fund IV-A, L.P.",Raleigh,NC,"Plexus Capital, LLC",2017,162232000,1573632,Mezzanine,Hybrid,No,"Michael Painter",mpainter@plexuscap.com,"(919) 256-6355"
"Plexus Fund IV-B, L.P.",Raleigh,NC,"Plexus Capital, LLC",2017,69528000,678059,Mezzanine,Hybrid,No,"Ronda Penn",rpenn@plexuscap.com,"(919) 256-6355"
"Plexus Fund IV-C, L.P.",Raleigh,NC,"Plexus Capital, LLC",2017,77677196,752523,Mezzanine,Hybrid,No,"Michael Painter",mpainter@plexuscap.com,"(919) 256-6355"
"Plexus Fund V-A, LP",Raleigh,NC,"Plexus Capital, LLC",2020,250000000,1636683,"Hybrid Debt/Equity","Private Equity",Yes,"Ronda Penn",rpenn@plexuscap.com,"(919) 256-6355"
"Plexus Fund V-B, LP",Raleigh,NC,"Plexus Capital, LLC",2020,99763840,636812,"Hybrid Debt/Equity","Private Equity",Yes,"Ronda Penn",rpenn@plexuscap.com,"(919) 256-6355"
"Plexus Fund V-C, L.P.",Raleigh,NC,"Plexus Capital, LLC",2020,72387498,476486,Mezzanine,Hybrid,Yes,"Ronda Penn, CFO",rpenn@plexuscap.com,919-256-6355
"Plexus Fund V-C, LP",Raleigh,NC,"Plexus Capital, LLC",2020,72387498,,"Hybrid Debt/Equity","Private Equity",Yes,"Ronda Penn",rpenn@plexuscap.com,"(919) 256-6355"
"Plexus Fund VII-A, L.P.",Raleigh,NC,"Plexus Capital, LLC",2025,277000000,,"Hybrid Debt/Equity","Private Credit",Yes,"Michael Painter",mpainter@plexuscap.com,919-256-6341
"Propel Venture Partners US Fund I, L.P.","San Francisco",CA,"Propel Venture Partners",2016,150722819,1961716,Mezzanine,Hybrid,No,"Jay Reinemann",jay@propel.vc,"(415) 794-9634"
"Providence Investment Partners I LP",Dallas,TX,"Providence Investment Managers LLC",2024,61952535,1961716,"Hybrid Debt/Equity",Hybrid,Yes,"John Turner",jturner@providenceip.com,214-912-0064
"QS Capital Strategies II LP","New York",NY,"Quilvest Capital Partners USA, Inc.",2020,93584304,,"Direct Lending","Private Credit",Yes,"Benton Cummings",bcummings@quilvestcapital.com,"(212) 920-3851"
"QS Capital Strategies II, L.P.","New York",NY,"Quilvest Capital Partners",2020,234989000,2978863,Mezzanine,Hybrid,Yes,"Benton Cummings",bcummings@quilvestusa.com,212-920-3851
"QS Capital Strategies III, L.P.","New York",NY,"Quilvest Capital Partners USA, Inc.",2026,41822722,,Mezzanine,"Private Credit",Yes,"Benton Cummings",bcummings@quilvestcapital.com,212-920-3851
"RCS SBIC Fund II, L.P.",Boston,MA,"Riverside Investment Management Company, LLC",2021,280025000,7251889,"Direct Lending","Private Credit",Yes,"Doug England",dengland@riversidecompany.com,"(216) 535-1768"
"Renovus Capital Partners II, L.P.",Wynnewood,PA,"Renovus Capital Partners",2016,302775000,8767944,Buyout,"Private Equity",No,"Atif Gilani",atif.gilani@renovuscapital.com,"(610) 848-7706"
"Renovus Capital Partners III, L.P.",Wayne,PA,"Renovus Capital Partners",2021,359500000,6065494,Buyout,"Private Equity",Yes,"Bradley Whitman",brad.whitman@renovuscapital.com,"(610) 848-7702"
"Renovus Capital Partners IV SBIC, L.P.",Wayne,PA,"Renovus Capital Partners",2024,227000000,6065494,Buyout,"Private Equity",Yes,"Jean Tucker",jean.tucker@renovuscapital.com,610-848-7700
"Resolute Capital Partners Fund IV, L.P.",Nashville,TN,"Resolute Capital Partners",2018,321524600,1991116,"Hybrid Debt/Equity",Hybrid,No,"William Nutter",bill@resolutecap.com,"(615) 665-3636"
"Resolute Capital Partners Fund V-A, L.P.",Nashville,TN,"Resolute Capital Partners",2021,199245000,2163376,"Hybrid Debt/Equity",Hybrid,Yes,"William Nutter",bill@resolutecap.com,"(615) 665-3636"
"Resolute Capital Partners Fund V-B, L.P.",Nashville,TN,"Resolute Capital Partners",2021,199245000,2163376,"Hybrid Debt/Equity",Hybrid,Yes,"William Nutter",bill@resolutecap.com,"(615) 665-3636"
"Resolute Capital Partners Fund VI-A, L.P.",Nashville,TN,"Resolute Capital Partners",2026,79670000,,"Hybrid Debt/Equity",Hybrid,Yes,"William Nutter",bill@resolutecap.com,615-665-1110
"Resolute Capital Partners Fund VI-B, L.P.",Nashville,TN,"Resolute Capital Partners",2026,73120000,,"Hybrid Debt/Equity",Hybrid,Yes,"Casey Hammontree",casey@resolutecap.com,615-665-1110
"Reynolda Equity Partners V, L.P.",Winston-Salem,NC,"Five Points Capital, Inc.",2024,59716397,,"Growth Equity","Private Equity",Yes,"S. Whitfield Edwards",wedwards@fivepointscapital.com,336-733-0350
"RF Investment Partners SBIC II, L.P.","New York",NY,"RF Investment Management Company, LLC",2022,278550000,2339234,Mezzanine,Hybrid,Yes,"Peter Rothschild",prothschild@rf-partners.com,212-590-2440
"RF Investment Partners SBIC, L.P.","New York",NY,"RF Investment Management Company, LLC",2018,275601966,2156420,Mezzanine,Hybrid,No,"Peter Rothschild",prothschild@rf-partners.com,215-590-2440
"RFE Investment Partners IX, L.P.","New Canaan",CT,"RFE Investment Partners",2020,362303272,2614192,Buyout,"Private Equity",Yes,"Donald Juricic",djuricic@rfeip.com,"(203) 966-2800"
"RFE Investment Partners X, L.P.",Westport,CT,"RFE Management Corporation",2026,55080000,,Buyout,"Private Equity",Yes,"James Parsons",jparsons@rfeip.com,203-966-2800
"Ridgeline Ventures Fund II-S L.P.",Memphis,TN,"Ridgeline Capital Management, LLC",2024,216841900,,"Early Venture",Venture,Yes,"Ryan Clinton",ryan@ridgeline.vc,202-670-2550
"River Cities Financial Institutions Fund V, L.P.",Cincinnati,OH,"River Cities Management, Inc.",2014,24048000,250098,"Growth Equity","Growth Equity",No,"Adrienne Vannarsdall",avannarsdall@rccf.com,"(513) 621-9700"
"Riverside Micro-Cap Fund III, L.P.","New York",NY,"Riverside Partners, LLC",2014,334222017,4322866,Buyout,"Private Equity",No,"Doug England",dengland@riversidecompany.com,"(216) 535-1768"
"Rochefort Ventures LP","West Palm Beach",FL,"Rochefort Asset Management LLC",2024,278090000,21900000,"Direct Lending","Private Credit",Yes,"Steele Schottenheimer",ss@haymancapital.com,917-916-6224
"Route 2 Capital Partners SBIC II, L.P.","Mount Pleasant",SC,"Route 2 Capital Partners",2023,87200000,8171579,Mezzanine,"Private Credit",Yes,"Spalding White",swhite@route2capital.com,"(470) 632-1554"
"Route 2 Capital Partners SBIC, L.P.","Mount Pleasant",SC,"Route 2 Capital Partners",2018,205408000,3077026,Mezzanine,"Private Credit",No,"Scott Kester",skester@route2capital.com,"(864) 421-5203"
"Salem Investment Partners IV, LP",Greensboro,NC,"Salem Investment Partners",2015,111000000,1558708,Mezzanine,"Private Credit",No,"Kevin Jessup",kjessup@salemip.com,"(336) 245-4747"
"Salem Investment Partners V, LP",Greensboro,NC,"Salem Investment Partners",2021,185040000,2627677,Mezzanine,"Private Credit",Yes,"Kevin Jessup",kjessup@salemip.com,"(336) 245-4747"
"Salem Investment Partners VI, Limited Parternship",Greensboro,NC,"Salem Investment Partners",2024,65486000,,Mezzanine,"Private Credit",Yes,"Kevin Jessup",kjessup@salemip.com,336-245-4747
"Salem Investment Partners VI, Limited Partnership",Greensboro,NC,"Salem Investment Partners",2023,45248000,4031731,Mezzanine,"Private Credit",Yes,"Kevin Jessup",kjessup@salemip.com,336-245-4747
"Saratoga Investment Corp. SBIC II L.P.","New York",NY,"Saratoga Investment Advisors",2019,87500000,,"Direct Lending","Private Credit",Yes,"Michael Grisius",mgrisius@saratogapartners.com,"(212) 906-7333"
"Saratoga Investment Corp. SBIC II LP","New York",NY,"Saratoga Investment Advisors",2019,262500000,4747210,"Direct Lending","Private Credit",No,"Michael Grisius",mgrisius@saratogapartners.com,212-906-7333
"Saratoga Investment Corp. SBIC III LP","New York",NY,"Saratoga Investment Advisors",2022,200100000,3679477,"Direct Lending","Private Credit",Yes,"Michael Grisius",mgrisius@saratogapartners.com,"(212) 906-7333"
"SBJ Elevation Fund, L.P.","Walnut Creek",CA,"SBJ Elevation, LLC",2025,175000000,,"Hybrid Debt/Equity",Hybrid,Yes,"Gus Spanos",gus@sbjcap.com,443-204-1405
"SBJ Fund, LP","Walnut Creek",CA,"SBJ Capital",2014,147745136,3530723,Multiple,"Private Equity",No,"Gus Spanos",gus@sbjcap.com,"(415) 848-1990"
"Seacoast Capital Partners V, L.P.",Danvers,MA,"Seacoast Capital",2023,110674962,11320833,"Hybrid Debt/Equity","Growth Equity",Yes,"Thomas Gorman",tgorman@seacoastcapital.com,"(978) 750-1300"
"SharpVue Capital Credit Fund II, L.P.",Raleigh,NC,"SharpVue Capital",2021,175870833,3636919,Mezzanine,"Private Credit",Yes,"James Burke",james.burke@sharpvuecap.com,"(919) 890-0528"
"SharpVue Capital Credit Fund III, L.P.",Raleigh,NC,"SharpVue SBIC Management, L.P.",2024,243000000,,Mezzanine,"Private Credit",Yes,"James Burke",james.burke@sharpvuecap.com,919-890-0528
"Signal Peak Ventures IV-A, L.P.","Salt Lake City",UT,"Signal Peak Operations, LLC",2025,39126984,,"Early Venture",Venture,Yes,"Travis Heath",travis@run.vc,"(801) 647-0503"
"Siguler Guff SBIC Fund II, L.P.","New York",NY,"Siguler Guff & Company",2023,104352100,3534370,Mezzanine,Hybrid,Yes,"Sean Greene",sgreene@sigulerguff.com,"(202) 415-8020"
"Siguler Guff SBIC Fund, L.P.","New York",NY,"Siguler Guff & Company",2020,54638054,1104312,Mezzanine,Hybrid,Yes,"Sean Greene",sgreene@sigulerguff.com,"(617) 648-2134"
"Silver Lake Waterman Fund III-S, L.P.","Menlo Park",CA,"Silver Lake Waterman Mangement Company, LLC",2022,175000000,2924222,Multiple,Hybrid,No,"Thomas Conneely",tom.conneely@silverlake.com,"(415) 730-8858"
"SJF Ventures III, LP",Durham,NC,"SJF Management LLC",2012,78803030,495549,Venture,Venture,No,"David A. Kirkpatrick",dkirk@sjfventures.com,"(919) 530-1177"
"Skyline Investors I, LP","Los Angeles",CA,"Skyline Investors",2024,52275750,7500000,"Hybrid Debt/Equity",Hybrid,Yes,"Kevin Tom",kevin@skylineinv.com,720-883-7205
"Small Business Community Capital II, L.P.",Norwalk,CT,"Small Business Community Capital, LLC",2015,110458008,1191285,Mezzanine,Hybrid,No,"Jay Garcia",jgarcia@sbccfund.com,"(646) 206-3284"
"Snowpoint Ventures II - S&T, LP","Palm Beach",FL,"Snowpoint Ventures Management LLC",2025,60550000,,Venture,Venture,Yes,"Alexander Oliver Creasey",alex@snowpoint.vc,415-305-0752
"Snowpoint Ventures II – S&T, LP","Palm Beach",FL,"Snowpoint Ventures Management LLC",2025,60550000,,Venture,Venture,Yes,"Alexander Oliver Creasey",alex@snowpoint.vc,415-305-0752
"Sound Growth Partners Fund I, LP",Edmonds,WA,"Sound Growth Partners Fund 1, GP",2024,275000000,20500000,Buyout,"Private Equity",Yes,"Peter Roushdy",peroushdy@gmail.com,301-518-4239
"Source Capital Credit Opportunities IV, L.P.",Atlanta,GA,"Source Capital, LLC",2021,186845752,3354336,"Direct Lending","Private Credit",Yes,"Thomas Harbin",tomharbin@source-cap.com,"(404) 249-9330"
"Source Capital Credit Opportunities V, LP",Atlanta,GA,"Source Capital, LLC",2024,109330000,8500000,"Hybrid Debt/Equity",Hybrid,Yes,"Thomas Harbin",tomharbin@source-cap.com,404-249-9330
"Southfield Mezzanine Capital II, L.P.",Greenwich,CT,"Southfield Mezzanine Associates LLC",2020,173600000,2619180,Mezzanine,"Private Equity",Yes,"Steven Axel",saxel@southfieldmezz.com,"(203) 813-4100"
"Southfield Mezzanine Capital III LP",Greenwich,CT,"Southfield Capital",2025,241700000,,Mezzanine,"Private Equity",Yes,"Steven Axel",saxel@southfieldmezz.com,203-813-4100
"Southfield Mezzanine Capital LP",Greenwich,CT,"Southfield Mezzanine Associates LLC",2013,76480688,1698369,Mezzanine,"Private Equity",No,"Steven Axel",saxel@southfieldmezz.com,"(203) 813-4100"
"Spell Capital Mezzanine Partners SBIC II, L.P.",Minneapolis,MN,"Spell Capital Partners, LLC",2017,204946142,2468189,Mezzanine,"Private Credit",No,"Andrea Nelson",andrea@spellcapital.com,"(612) 843-1545"
"Spring Capital Partners III, L.P.",Lutherville,MD,"Spring Capital Partners",2013,58237770,1901184,Mezzanine,"Private Credit",No,"Robert Stewart",rms@springcap.com,"(410) 685-8007"
"Spring Capital Partners IV, L.P.",Lutherville,MD,"Spring Capital Partners",2020,183500000,3302355,Mezzanine,"Private Credit",Yes,"John Acker",jca@springcap.com,"(410) 685-8007"
"Spring Capital Partners V, L.P.",Lutherville,MD,"Spring Capital Management Company",2025,78938334,,Mezzanine,"Private Credit",Yes,"John Acker",jca@springcap.com,410-685-8000
"St. Cloud Capital Partners III SBIC, LP","Los Angeles",CA,"St. Cloud Capital, LLC",2015,145436103,1889872,Mezzanine,Hybrid,No,"Kacy Rozelle",krozelle@stcloudcapital.com,"(310) 475-2700"
"St. Cloud Capital Partners IV SBIC, LP","Los Angeles",CA,"St. Cloud Capital, LLC",2022,132945000,5140625,Mezzanine,Hybrid,Yes,"Kacy Rozelle",krozelle@stcloudcapital.com,"(310) 475-2700"
"Star Mountain SBIC Fund II, L.P.","New York",NY,"Star Mountain Fund Management, LLC",2024,39020000,5140625,"Direct Lending","Private Credit",Yes,"Brett Hickey",brett.hickey@starmountaincapital.com,212-810-9044
"Star Mountain SBIC Fund II, LP","New York",NY,"Star Mountain Fund Management, LLC",2024,106225000,,"Direct Lending","Private Credit",Yes,"Brett Hickey",brett.hickey@starmountaincapital.com,212-810-9044
"Star Mountain SBIC Fund, L.P.","New York",NY,"Star Mountain Capital",2021,290580000,3248152,Mezzanine,Hybrid,Yes,"Brett Hickey",brett.hickey@starmountaincapital.com,"(646) 787-0222"
"Stellus Capital SBIC II LP",Houston,TX,"Stellus Capital Management",2019,262500000,7672843,"Balanced Venture",Hybrid,No,"W. Todd Huskinson",thuskinson@stelluscapital.com,"(713) 292-5414"
"Stellus Capital SBIC LP",Houston,TX,"Stellus Capital Management",2014,225000000,6944885,"Hybrid Debt/Equity",Hybrid,No,"W. Todd Huskinson",thuskinson@stelluscapital.com,"(713) 292-5414"
"Stifel North Atlantic AM-Forward, LP",Portland,ME,"North Atlantic Capital Corporation",2024,52534843,6944885,Venture,Hybrid,Yes,"Mark Morrissette",mmorrissette@stifel.com,207-772-4470
"Stonehenge Community Impact Fund II, LP",Columbus,OH,"Stonehenge Capital",2026,31585000,,"Direct Lending","Private Credit",Yes,"L'Quentus Thomas",lthomas@stonehengecapital.com,614-246-2456
"Stonehenge Community Impact Fund, L.P.",Columbus,OH,"Stonehenge Capital",2020,178023240,6826945,"Direct Lending","Private Credit",Yes,"L'Quentus Thomas",lthomas@stonehengecapital.com,"(614) 545-7244"
"Stonehenge Growth Equity Fund, L.P.",Tampa,FL,"Stonehenge Capital",2013,22215172,613591,"Growth Equity","Growth Equity",No,"Steven Lux",steve@topmarkpartners.com,"(813) 221-8302"
"Stonehenge Opportunity Fund IV, L.P.",Columbus,OH,"Stonehenge Partners Corp.",2017,237434578,5304856,"Hybrid Debt/Equity",Hybrid,No,"Erin Bender",enbender@stonehengepartners.com,"(614) 246-2476"
"Stonehenge Opportunity Fund V, L.P.",Columbus,OH,"Stonehenge Partners Corp.",2023,285091815,9997416,"Hybrid Debt/Equity",Hybrid,Yes,"Erin Bender",enbender@stonehengepartners.com,"(614) 246-2435"
"Svoboda Capital Fund IV (SBIC), L.P.",Chicago,IL,"Svoboda Capital Partners LLC",2017,38385872,1733972,"Growth Equity","Growth Equity",No,"John Simpson",jsimpson@svoco.com,"(312) 267-8751"
"Tamarix Capital Partners II, L.P.","New York",NY,Tamarix,2022,120345786,8619375,"Hybrid Debt/Equity",Hybrid,Yes,"Mark Hauser",mhauser@tamarixcapital.com,"(212) 430-8400"
"TCPC SBIC, LP","Santa Monica",CA,"Tennenbaum Capital Partners, LLC",2014,247500000,4807225,"Balanced Venture","Private Credit",No,"Erik Cuellar",erik.cuellar@blackrock.com,310-651-4240
"Tecum Capital Partners II, L.P.",Wexford,PA,"Tecum Capital",2017,179046048,3574773,Mezzanine,Hybrid,No,"Stephen Gurgovits",sgurgovits@tecum.com,"(724) 602-4401"
"Tecum Capital Partners III, L.P.",Wexford,PA,"Tecum Capital",2021,257897353,5369119,Mezzanine,Hybrid,Yes,"Stephen Gurgovits",sgurgovits@tecum.com,"(312) 750-3617"
"Tecum Capital Partners IV, L.P.",Wexford,PA,"Tecum Capital Management, Inc. (TMC)",2025,234604488,,Mezzanine,Hybrid,Yes,"Stephen Gurgovits",sgurgovits@tecum.com,724-602-4399
"TGEF III, L.P.",Tampa,FL,"Topmark Partners",2020,48954299,1848214,"Growth Equity","Growth Equity",Yes,"Steven Lux",steve@topmarkpartners.com,"(813) 221-8302"
"The Central Valley Fund III (SBIC), L.P.",Davis,CA,"CVF Capital Partners",2017,63750500,,Mezzanine,"Private Equity",Yes,"Edward McNulty",emcnulty@cvfcapitalpartners.com,530-757-7004
"TR-SOF II LP","New York",NY,"Turning Rock Partners",2024,182500000,,"Direct Lending","Private Credit",Yes,"Saba Ahmad",sahmad@turningrockpartners.com,212-207-2396
"Tree Line SBIC, LP","San Francisco",CA,"Tree Line Capital Partners, LLC",2024,94105188,5720934,"Direct Lending","Private Credit",Yes,"Tom Quimby",tquimby@treelinecp.com,"(415) 795-7580"
"Triad Investments LP","New York",NY,"Triad Investments",1984,919715,165832,"Direct Lending","Private Credit",No,"Sahra Halpern",shalpern@bcfcapital.com,"(212) 243-7360"
"True West Capital Partners Fund II, L.P.","Los Angeles",CA,"True West Capital Partners",2015,120778238,4083718,Buyout,Hybrid,No,"Steven Wilkins",srw@truewestcp.com,"(503) 517-4628"
"True West Capital Partners Fund III, L.P.","Los Angeles",CA,"True West Capital Partners",2020,222752532,3772832,Buyout,Hybrid,Yes,"Steven Wilkins",srw@truewestcp.com,"(503) 517-4628"
"True West Capital Partners Fund IV, LP","Los Angeles",CA,"True West Management Company, LLC",2026,100000000,,Mezzanine,"Private Credit",Yes,"Steven Wilkins",srw@truewestcp.com,503-961-5646
"TTGA SBIC Pioneer Fund I, L.P.",Cincinnati,OH,"The Tokarz Group Advisers, LLC",2021,168500000,5853604,Mezzanine,Hybrid,Yes,"David  J. Williams",david.williams@ttga.com,"(513) 725-1861"
"TZP SBIC Partners I, L.P.","New York",NY,"TZP SBIC Fund Manager I, L.P.",2024,57341828,5853604,Buyout,"Private Credit",Yes,"Samuel Katz",skatz@tzpgroup.com,212-398-0300
"UMB Capital Corporation","Kansas City",MO,"UMB Bank",1983,53410000,1108635,"Hybrid Debt/Equity",Hybrid,No,"Tedd Carew",tedd.carew@umb.com,"(816) 860-1575"
"University Ventures, Inc.","New Brunswick",NJ,"University Ventures",1983,3426000,335848,"Direct Lending","Private Credit",No,"Leah Apgar",lapgar@njclf.com,"(732) 640-2061"
"Valesco Fund II, L.P.",Dallas,TX,"Valesco Industries",2016,251949798,6110954,"Hybrid Debt/Equity",Hybrid,No,"Daniel H. Moore",bmoore@valescoind.com,214-880-8690
"Valesco Fund II, LP",Dallas,TX,"Valesco Industries",2016,163537583,,Buyout,"Private Equity",Yes,"Julie Davenport",jdavenport@valescoind.com,"(214) 880-8690"
"Valesco Fund III, L.P.",Dallas,TX,"Valesco Industries",2023,396743207,15083333,"Hybrid Debt/Equity",Hybrid,Yes,"Julie Davenport",jdavenport@valescoind.com,"(214) 393-2533"
"Verde Capital Partners, LP",Houston,TX,"Azul Management Company, LLC",2025,87500000,,"Hybrid Debt/Equity","Private Equity",Yes,"Todd Fisk",todd@bluestemequity.com,713-775-0450
"Vocap Partners IV SBIC, L.P.","Vero Beach",FL,"Vocap Investment Partners",2025,115267500,,"Growth Equity",Venture,Yes,"Michael Becker",mike@vocap.vc,404-386-0890
"Walden Venture Capital VIII SBIC, L.P.",Woodside,CA,"Walden Venture Capital",2013,73824223,822889,Venture,Venture,No,"Matt Miller",matt@waldenvc.com,"(415) 273-4242"
"Wasatch Venture Fund II, LLC","Salt Lake City",UT,"Wasatch Management Partners, LLC",1999,16000000,822889,Venture,Venture,No,"Nick Efstratis",epic@cornerstone.vc,"(801) 524-8936"
"Wasatch Venture Fund III, L.L.C.","Salt Lake City",UT,"Wasatch Management Partners, LLC",2001,17590108,237865,Venture,Venture,No,"Nick Efstratis",epic@cornerstone.vc,801-524-8939
"Wells Fargo Strategic Capital SBIC, L.P.",Charlotte,NC,"Wells Fargo Central Pacific Holdings. Inc",2020,200000000,5818365,"Hybrid Debt/Equity",Hybrid,Yes,"Tim Rafalovich",tim.rafal@wellsfargo.com,949-251-4321
"Willow Tree Credit Partners SBIC, LP","New York",NY,"Willow Tree Credit Partners",2019,195790373,2831492,Venture,"Private Credit",Yes,"James Roche",roche@willowtreelp.com,"(212) 218-1080"
"Z2 SBIC I, LP",Stamford,CT,"Z2 SBIC Partners, LP",2026,59357850,,"Hybrid Debt/Equity","Private Credit",Yes,"Scott Gold",scott@z2mgmt.com,914-393-5405
"Zions SBIC, L.L.C.","Salt Lake City",UT,Zions,2001,100000000,533925,"Hybrid Debt/Equity",Hybrid,No,"Nick Efstratis",epic@cornerstone.vc,"(801) 524-8939"
